#NOTES: 
#All Castle doors and gates are found in the castledoor.sql
#All thrones and signs are found in the staticobject.csv
#To make a door unlockable through the unlock skill, add true to the end of the string
#Table Description:
#name;static_object_id;posx;posy;posz;pos_minx;pos_miny;pos_minz;pos_maxx;pos_maxy;pos_maxz;hp;physical_defence;magic_defence;unlockable

# Aden - Clan Halls
aden_clanhall_001;24180022;145358;25385;-2090;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_002;24180023;145358;25304;-2090;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_003;24180024;149438;23177;-2101;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_004;24180025;149438;23095;-2101;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_005;24180026;150299;23695;-2090;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_006;24180027;150299;23614;-2090;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_007;24180028;150444;26584;-2226;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_008;24180029;150444;26502;-2226;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_009;24180030;144359;28239;-2218;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_010;24180031;144359;28158;-2218;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_011;24180032;144294;27131;-2228;0;0;0;0;0;0;158250;644;518;False
aden_clanhall_012;24180033;144294;27049;-2228;0;0;0;0;0;0;158250;644;518;False

# Aden - Coliseum Gates
aden_colosseum_outer_001;24190001;147086;46721;-3434;0;0;0;0;0;0;687500;644;518;False
aden_colosseum_inner_001;24190002;148045;46721;-3435;0;0;0;0;0;0;687500;644;518;False
aden_colosseum_inner_002;24190003;150951;46721;-3435;0;0;0;0;0;0;687500;644;518;False
aden_colosseum_outer_002;24190004;151911;46721;-3435;0;0;0;0;0;0;687500;644;518;False

# Bandits Stronghold
bandit_outer_001;22170001;85621;-18127;-1670;0;0;0;0;0;0;158250;644;518;False
bandit_outer_002;22170002;85213;-18458;-1670;0;0;0;0;0;0;158250;644;518;False
bandit_inner_003;22170003;80818;-15357;-1762;0;0;0;0;0;0;158250;644;518;False
bandit_inner_004;22170004;80818;-15518;-1762;0;0;0;0;0;0;158250;644;518;False

# Cruma Tower - Core Room Doors
cruma_001;20210001;17624;112427;-6456;0;0;0;0;0;0;150000;476;383;True
cruma_002;20210002;17820;112427;-6456;0;0;0;0;0;0;150000;476;383;True
cruma_003;20210003;17721;112427;-6579;0;0;0;0;0;0;150000;476;383;True

# Dion - Clan Halls
H_Door_MV_01;20220011;18879;143353;-2998;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;20220012;18872;143278;-2998;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;20220013;17616;145184;-3025;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;20220014;17678;145226;-3025;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;20220015;20118;145994;-3099;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;20220016;20193;145994;-3099;0;0;0;0;0;0;158250;644;518;False

# Devastated Castle
devastated_castle_outer_001;25170001;178212;-15038;-2135;0;0;0;0;0;0;158250;644;518;False
devastated_castle_outer_002;25170002;178468;-15038;-2135;0;0;0;0;0;0;158250;644;518;False
devastated_castle_inner_001;25170003;178121;-18226;-2286;0;0;0;0;0;0;79125;644;518;False
devastated_castle_inner_002;25170004;178245;-18226;-2286;0;0;0;0;0;0;79125;644;518;False
devastated_castle_inner_003;25170005;178302;-18573;-2287;0;0;0;0;0;0;79125;644;518;False
devastated_castle_inner_004;25170006;178302;-18648;-2287;0;0;0;0;0;0;79125;644;518;False

# Devils Isle
pirate_isle_001;21240001;42001;208378;-3666;0;0;0;0;0;0;187500;100000;10000;True
pirate_isle_002;21240002;43745;212594;-3623;0;0;0;0;0;0;187500;100000;10000;True
pirate_isle_003;21240003;42167;213285;-3643;0;0;0;0;0;0;187500;476;383;True
pirate_isle_004;21240004;51111;206106;-3912;0;0;0;0;0;0;187500;476;383;True
pirate_isle_005;21240005;52910;206720;-3692;0;0;0;0;0;0;187500;476;383;True
pirate_isle_006;21240006;52423;219103;-3209;0;0;0;0;0;0;187500;1000000;383;True

# Garden of Eva - Water Walls and Secret Walls
goe_001;22250001;86226;247063;-8584;0;0;0;0;0;0;187500;476;383;False
goe_002;22250002;88491;253871;-8584;0;0;0;0;0;0;187500;476;383;False
goe_003;22250003;76873;253954;-8584;0;0;0;0;0;0;187500;476;383;False
goe_004;22250004;79033;247128;-8584;0;0;0;0;0;0;187500;476;383;False
goe_005;22250005;82738;246603;-9093;0;0;0;0;0;0;187500;476;383;False
goe_006;22250006;87902;250378;-9093;0;0;0;0;0;0;187500;476;383;False
goe_007;22250007;85914;256377;-9093;0;0;0;0;0;0;187500;476;383;False
goe_008;22250008;79561;256348;-9093;0;0;0;0;0;0;187500;476;383;False
goe_009;22250009;77616;250361;-9093;0;0;0;0;0;0;187500;476;383;False
goe_010;22250010;80102;248387;-9611;0;0;0;0;0;0;187500;476;383;False
goe_011;22250011;85343;248344;-9611;0;0;0;0;0;0;187500;476;383;False
goe_012;22250012;87018;253389;-9611;0;0;0;0;0;0;187500;476;383;False
goe_013;22250013;82768;256485;-9611;0;0;0;0;0;0;187500;476;383;False
goe_014;22250014;78490;253391;-9611;0;0;0;0;0;0;187500;476;383;False
goe_015;22250015;79253;253097;-10118;0;0;0;0;0;0;187500;476;383;False
goe_016;22250016;79276;250856;-10118;0;0;0;0;0;0;187500;476;383;False
goe_017;22250017;80601;249046;-10118;0;0;0;0;0;0;187500;476;383;False
goe_018;22250018;82836;248341;-10118;0;0;0;0;0;0;187500;476;383;False
goe_019;22250019;84906;249034;-10116;0;0;0;0;0;0;187500;476;383;False
goe_020;22250020;86247;250888;-10118;0;0;0;0;0;0;187500;476;383;False
goe_021;22250021;86213;253197;-10118;0;0;0;0;0;0;187500;476;383;False
goe_022;22250022;84889;254973;-10118;0;0;0;0;0;0;187500;476;383;False
goe_023;22250023;82726;255659;-10118;0;0;0;0;0;0;187500;476;383;False
goe_024;22250024;80590;254950;-10118;0;0;0;0;0;0;187500;476;383;False
goe_025;22250025;81959;255493;-10734;0;0;0;0;0;0;187500;476;383;True
goe_026;22250026;83496;255494;-10734;0;0;0;0;0;0;187500;476;383;True
goe_027;22250027;83549;248505;-10734;0;0;0;0;0;0;187500;476;383;True
goe_028;22250028;82012;248506;-10734;0;0;0;0;0;0;187500;476;383;True
goe_029;22250029;82560;254715;-10880;0;0;0;0;0;0;187500;476;383;True

# Gludin - Clan Halls
gludin_clanhall_001;17220001;-84495;155209;-3150;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_002;17220002;-84495;155286;-3150;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_003;17220003;-83961;155258;-3150;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_004;17220004;-83961;155180;-3150;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_005;17220005;-83879;153064;-3149;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_006;17220006;-83956;153064;-3149;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_007;17220007;-83927;153598;-3149;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_008;17220008;-83850;153598;-3149;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_009;17220009;-83971;151880;-3112;0;0;0;0;0;0;158250;644;518;False
gludin_clanhall_010;17220010;-84047;151880;-3112;0;0;0;0;0;0;158250;644;518;False

# Gludin - Einhasad Temple
gludin_einhasad_001;17220011;-79737;150063;-3027;0;0;0;0;0;0;158250;644;518;False
gludin_einhasad_002;17220012;-79737;150138;-3027;0;0;0;0;0;0;158250;644;518;False
gludin_einhasad_003;17220013;-79740;151522;-3027;0;0;0;0;0;0;158250;644;518;False
gludin_einhasad_004;17220014;-79740;151598;-3027;0;0;0;0;0;0;158250;644;518;False

# Gludio - Clan Halls
gludio_clanhall_001;19210011;-14790;125633;-3123;0;0;0;0;0;0;158250;644;518;False
gludio_clanhall_002;19210012;-14790;125557;-3123;0;0;0;0;0;0;158250;644;518;False
gludio_clanhall_003;19210013;-14116;125602;-3122;0;0;0;0;0;0;158250;644;518;False
gludio_clanhall_004;19210014;-14116;125677;-3122;0;0;0;0;0;0;158250;644;518;False
gludio_clanhall_005;19210015;-12601;123885;-3096;0;0;0;0;0;0;158250;644;518;False
gludio_clanhall_006;19210016;-12676;123885;-3096;0;0;0;0;0;0;158250;644;518;False
gludio_clanhall_007;19210017;-15981;123747;-3096;0;0;0;0;0;0;158250;644;518;False
gludio_clanhall_008;19210018;-15909;123725;-3096;0;0;0;0;0;0;158250;644;518;False

# Partisans Hideaway - Clan Hall Doors
partisan001;21210001;43643;108908;-1970;0;0;0;0;0;0;158250;644;518;False
partisan002;21210002;43643;108783;-1970;0;0;0;0;0;0;158250;644;518;False

# Tower Of Insolence - Raid Boss Area Doors
aden_tower_of_hubris;23180003;113252;15914;4115;0;0;0;0;0;0;187500;476;383;False
aden_tower_of_hubris;23180002;113771;16849;-1979;0;0;0;0;0;0;187500;476;383;False
aden_tower_of_hubris;23180001;113876;16953;-1979;0;0;0;0;0;0;187500;476;383;False
aden_tower_of_hubris;23180006;113367;15868;7145;0;0;0;0;0;0;187500;476;383;False
aden_tower_of_hubris;23180005;113263;15764;7145;0;0;0;0;0;0;187500;476;383;False
aden_tower_of_hubris;23180004;113117;15970;4115;0;0;0;0;0;0;187500;476;383;False

# Unknown
H_Door_MV_01;570622981;17616;145184;-3025;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;570622981;18872;143278;-2998;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;570622981;18879;143353;-2998;0;0;0;0;0;0;158250;644;518;False
H_Door_MV_01;570622981;20118;145994;-3099;0;0;0;0;0;0;158250;644;518;False

#Imperial Tomb
#Conquerer
conq_mos;25150011;181195;-85594;-7069;0;0;0;0;0;0;158250;644;518;False
visc_hall_gate;25150012;182981;-85580;-7071;0;0;0;0;0;0;158250;644;518;False
count_hall_gate;25150013;184798;-85582;-7070;0;0;0;0;0;0;158250;644;518;False
marquis_hall_gate;25150014;186575;-85576;-7073;0;0;0;0;0;0;158250;644;518;False
duke_hall_gate;25150015;188363;-85576;-7067;0;0;0;0;0;0;158250;644;518;False
imp_grave_gate;25150016;190165;-85576;-7072;0;0;0;0;0;0;158250;644;518;False

#Ruler
ent_ruler;25150001;179512;-88979;-7067;0;0;0;0;0;0;158250;644;518;False
vs_hall_2;25150002;181248;-88979;-7066;0;0;0;0;0;0;158250;644;518;False
ct_ahll_2;25150003;183053;-88979;-7071;0;0;0;0;0;0;158250;644;518;False
mr_hall_2;25150004;184884;-88968;-7054;0;0;0;0;0;0;158250;644;518;False
dk_hall_2;25150005;186685;-88965;-7072;0;0;0;0;0;0;158250;644;518;False
em_grav_2;25150006;188472;-88968;-7070;0;0;0;0;0;0;158250;644;518;False

# Great Sage Mos
ent_grtsage;25150031;173218;-86614;-7073;0;0;0;0;0;0;158250;644;518;False
vs_hall_3;25150032;173218;-84780;-7069;0;0;0;0;0;0;158250;644;518;False
ct_ahll_3;25150033;173210;-82974;-7069;0;0;0;0;0;0;158250;644;518;False
mr_hall_3;25150034;173212;-81165;-7067;0;0;0;0;0;0;158250;644;518;False
dk_hall_3;25150035;173215;-79393;-7062;0;0;0;0;0;0;158250;644;518;False
em_grav_3;25150036;173196;-77563;-7065;0;0;0;0;0;0;158250;644;518;False

#Judge Mos
ent_judge;25150021;175610;-82701;-7061;0;0;0;0;0;0;158250;644;518;False
vs_hall_4;25150022;175610;-80956;-7070;0;0;0;0;0;0;158250;644;518;False
ct_ahll_4;25150023;175601;-79162;-7069;0;0;0;0;0;0;158250;644;518;False
mr_hall_4;25150024;175602;-77330;-7074;0;0;0;0;0;0;158250;644;518;False
dk_hall_4;25150025;175597;-75538;-7069;0;0;0;0;0;0;158250;644;518;False
em_grav_4;25150026;175588;-73721;-7067;0;0;0;0;0;0;158250;644;518;False

